# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"15.05.2020 22:00";"6.0";"748.2";"755.4";"81";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"3.0";
"15.05.2020 21:30";"5.0";"748.2";"755.4";"87";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"3.0";
"15.05.2020 21:00";"4.0";"748.2";"755.4";"93";"Ветер, дующий с запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"15.05.2020 20:30";"5.0";"747.4";"754.6";"87";"Ветер, дующий с запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"15.05.2020 20:00";"7.0";"747.5";"754.6";"76";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"15.05.2020 19:30";"8.0";"747.5";"754.6";"71";"Ветер, дующий с северо-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"15.05.2020 19:00";"9.0";"747.5";"754.6";"66";"Ветер, дующий с северо-запада";"3";"";"";"";"Рассеянная (40-50%) 810 м";"10.0 и более";"3.0";
"15.05.2020 18:30";"9.0";"747.5";"754.6";"66";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 810 м";"10.0 и более";"3.0";
"15.05.2020 18:00";"9.0";"747.5";"754.6";"71";"Ветер, дующий с северо-запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"4.0";
"15.05.2020 17:30";"9.0";"747.5";"754.6";"71";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"4.0";
"15.05.2020 17:00";"9.0";"747.5";"754.6";"76";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"5.0";
"15.05.2020 16:30";"8.0";"747.5";"754.6";"82";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 480 м";"10.0 и более";"5.0";
"15.05.2020 16:00";"8.0";"746.8";"753.9";"82";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"5.0";
"15.05.2020 15:30";"8.0";"746.8";"753.9";"82";"Ветер, дующий с северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"5.0";
"15.05.2020 15:00";"8.0";"746.8";"753.9";"87";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"6.0";
"15.05.2020 14:30";"8.0";"746.8";"753.9";"93";"Ветер, дующий с севера";"7";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"7.0";
"15.05.2020 14:00";"8.0";"746.0";"753.1";"93";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"7.0";
"15.05.2020 13:30";"8.0";"746.0";"753.1";"93";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 480 м";"10.0 и более";"7.0";
"15.05.2020 13:00";"8.0";"746.0";"753.1";"93";"Ветер, дующий с севера";"3";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 480 м";"9.0";"7.0";
"15.05.2020 12:30";"9.0";"746.0";"753.1";"87";"Ветер, дующий с северо-северо-запада";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 450 м";"10.0 и более";"7.0";
"15.05.2020 12:00";"9.0";"746.0";"753.1";"87";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 450 м";"10.0 и более";"7.0";
"15.05.2020 11:30";"9.0";"746.0";"753.1";"87";"Ветер, дующий с севера";"1";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 450 м";"10.0 и более";"7.0";
"15.05.2020 11:00";"9.0";"746.8";"753.9";"82";"Переменное направление";"1";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 450 м";"10.0 и более";"6.0";
"15.05.2020 10:30";"9.0";"746.8";"753.9";"82";"Переменное направление";"1";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 450 м";"10.0 и более";"6.0";
"15.05.2020 10:00";"9.0";"746.8";"753.9";"82";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"6.0";
"15.05.2020 09:30";"8.0";"746.8";"753.9";"87";"Переменное направление";"1";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 420 м";"10.0 и более";"6.0";
"15.05.2020 09:00";"8.0";"747.5";"754.6";"87";"Переменное направление";"1";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"10.0 и более";"6.0";
"15.05.2020 08:30";"8.0";"747.5";"754.6";"93";"Переменное направление";"1";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"10.0 и более";"7.0";
"15.05.2020 08:00";"8.0";"747.5";"754.6";"93";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"7.0";
"15.05.2020 07:30";"8.0";"747.5";"754.6";"93";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м";"10.0 и более";"7.0";
"15.05.2020 07:00";"8.0";"747.5";"754.6";"93";"Ветер, дующий с юга";"3";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 330 м";"10.0 и более";"7.0";
"15.05.2020 06:30";"8.0";"748.3";"755.4";"93";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 450 м";"10.0 и более";"7.0";
"15.05.2020 06:00";"8.0";"748.3";"755.4";"93";"Ветер, дующий с юго-юго-востока";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м";"10.0 и более";"7.0";
"15.05.2020 05:30";"7.0";"748.2";"755.4";"100";"Ветер, дующий с юго-юго-востока";"1";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м";"10.0 и более";"7.0";
"15.05.2020 05:00";"7.0";"748.2";"755.4";"100";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м";"10.0 и более";"7.0";
"15.05.2020 04:30";"7.0";"749.0";"756.2";"100";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м";"10.0 и более";"7.0";
"15.05.2020 04:00";"7.0";"749.0";"756.2";"93";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м";"10.0 и более";"6.0";
"15.05.2020 03:30";"7.0";"749.7";"756.9";"93";"Ветер, дующий с северо-востока";"1";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м";"10.0 и более";"6.0";
"15.05.2020 03:00";"8.0";"749.8";"756.9";"87";"Ветер, дующий с востоко-северо-востока";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"15.05.2020 02:30";"7.0";"750.5";"757.7";"100";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 600 м";"10.0 и более";"7.0";
"15.05.2020 02:00";"7.0";"750.5";"757.7";"93";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"15.05.2020 01:30";"8.0";"750.6";"757.7";"87";"Ветер, дующий с северо-северо-запада";"1";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"15.05.2020 01:00";"8.0";"750.6";"757.7";"82";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"5.0";
"15.05.2020 00:30";"8.0";"750.6";"757.7";"82";"Ветер, дующий с востоко-северо-востока";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 540 м";"10.0 и более";"5.0";
"15.05.2020 00:00";"8.0";"751.0";"758.2";"82";"Ветер, дующий с северо-северо-запада";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 540 м";"10.0 и более";"5.0";
"14.05.2020 23:30";"9.0";"751.1";"758.2";"71";"Ветер, дующий с северо-востока";"2";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"4.0";
"14.05.2020 23:00";"9.0";"751.1";"758.2";"76";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"5.0";
"14.05.2020 22:00";"9.0";"751.1";"758.2";"71";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"4.0";
"14.05.2020 20:30";"11.0";"751.1";"758.2";"58";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"3.0";
"14.05.2020 20:00";"12.0";"751.1";"758.2";"54";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"3.0";
"14.05.2020 19:30";"12.0";"751.1";"758.2";"58";"Ветер, дующий с юго-запада";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"4.0";
"14.05.2020 19:00";"13.0";"751.2";"758.2";"47";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"2.0";
"14.05.2020 18:30";"14.0";"751.2";"758.2";"39";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"14.05.2020 18:00";"14.0";"751.2";"758.2";"41";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"1.0";
"14.05.2020 17:30";"15.0";"751.2";"758.2";"36";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"14.05.2020 17:00";"15.0";"752.0";"759.0";"36";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"14.05.2020 16:30";"14.0";"752.0";"759.0";"39";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"14.05.2020 16:00";"14.0";"752.0";"759.0";"36";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 15:30";"14.0";"752.0";"759.0";"36";"Ветер, дующий с юго-запада";"7";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 15:00";"14.0";"752.0";"759.0";"36";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 14:30";"16.0";"752.0";"759.0";"31";"Ветер, дующий с юго-запада";"8";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 14:00";"16.0";"752.0";"759.0";"31";"Ветер, дующий с юго-запада";"6";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 13:30";"14.0";"752.7";"759.7";"33";"Ветер, дующий с юго-юго-запада";"8";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-2.0";
"14.05.2020 13:00";"14.0";"752.7";"759.7";"33";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-2.0";
"14.05.2020 12:30";"14.0";"752.7";"759.7";"33";"Ветер, дующий с юго-запада";"7";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-2.0";
"14.05.2020 12:00";"14.0";"752.7";"759.7";"36";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 11:30";"13.0";"752.7";"759.7";"38";"Ветер, дующий с юго-запада";"8";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 11:00";"13.0";"753.5";"760.5";"38";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 10:30";"13.0";"753.5";"760.5";"38";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"14.05.2020 10:00";"12.0";"753.4";"760.5";"44";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"14.05.2020 09:30";"11.0";"754.1";"761.2";"47";"Ветер, дующий с юго-запада";"6";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"14.05.2020 09:00";"11.0";"754.1";"761.2";"47";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"14.05.2020 08:30";"10.0";"754.1";"761.2";"50";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"0.0";
"14.05.2020 08:00";"9.0";"754.0";"761.2";"58";"Ветер, дующий с юга";"5";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"1.0";
"14.05.2020 07:30";"7.0";"754.0";"761.2";"61";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"0.0";
"14.05.2020 07:00";"7.0";"754.0";"761.2";"66";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
